peopleid3rog3,rog3,ctry,peopleid3,peopnameincountry,peopnameacrosscountries,naturalname,population,rog2,continent,regioncode,regionname,10_40window,peopleid1,affinitybloc,peopleid2,peoplecluster,populationpgac,jpscale,leastreached,frontier,workersneeded,rop25,rop25name,rop3,rol3,primarylanguagename,biblestatus,rlg3,primaryreligion,percentadherents,percentevangelical,indigenouscode,photoccversiontext,photoccversionurl,mapccversiontext,mapccversionurl,jf,audiorecordings,longitude,latitude
18385CH,CH,China,18385,"A Che","A Che","A Che",42000,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",42000,1,Y,Y,1,300001,"A Che",113978,yif,Ache,1,4,"Ethnic Religions",0.000,0.000,Y,,,,,Y,Y,101.97421,24.68311
18399CH,CH,China,18399,A'ou,A'ou,A'ou,2800,ASI,Asia,3,"Asia, Northeast",Y,20,"Southeast Asian Peoples",295,Tai,2800,1,Y,Y,1,300380,A'ou,113993,cmn,"Chinese, Mandarin",5,4,"Ethnic Religions",0.000,0.000,Y,,,,,Y,Y,106.02223729122,26.940644878159
10120MY,MY,Malaysia,10120,"Abai Sungai","Abai Sungai","Abai Sungai",1600,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",155,Borneo-Kalimantan,1600,1,Y,Y,1,300005,"Abai Sungai",100005,abf,"Abai Sungai",0,6,Islam,0.000,0.000,Y,,,,,N,N,118.3747,5.68353
10125RS,RS,Russia,10125,Abaza,Abaza,Abaza,42000,ASI,Asia,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",157,Caucasus,72000,1,Y,Y,1,300009,Abaza,100011,abq,Abaza,3,6,Islam,0.022,0.022,Y,,,,,N,N,41.88952,44.22168
10125TU,TU,"Türkiye (Turkey)",10125,Abaza,Abaza,Abaza,14000,ASI,Asia,5,"Asia, Central",Y,12,"Eurasian Peoples",157,Caucasus,72000,1,Y,N,1,300009,Abaza,100011,abq,Abaza,3,6,Islam,0.200,0.000,N,,,,,N,N,42.72732,41.12144
10125EG,EG,Egypt,10125,"Abaza, Arabized",Abaza,"Arabized Abaza",16000,AFR,Africa,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,72000,1,Y,Y,1,300009,Abaza,100011,arz,"Arabic, Egyptian",5,6,Islam,0.100,0.000,Y,,,,,Y,Y,31.567505,30.492752
16152BG,BG,Bangladesh,16152,Abdul,Abdul,Abdul,43000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",85500,1,Y,Y,1,300010,Abdal,111252,ben,Bengali,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,89.836245920389,22.996444245679
16152IN,IN,India,16152,Abdul,Abdul,Abdul,41000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",85500,1,Y,Y,1,300010,Abdal,111252,urd,Urdu,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,84.220237229899,25.051311722751
16152NP,NP,Nepal,16152,Abdul,Abdul,Abdul,1500,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",85500,1,Y,Y,1,300010,Abdal,111252,urd,Urdu,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,82.17540409226,28.442443064845
10130SY,SY,Syria,10130,Abkhaz,Abkhaz,Abkhaz,6500,ASI,Asia,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,188900,1,Y,N,1,300015,Abkhaz,100018,abk,Abkhaz,4,6,Islam,4.000,1.000,N,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,N,36.333564,33.533734
10130TU,TU,"Türkiye (Turkey)",10130,Abkhaz,Abkhaz,Abkhaz,167000,ASI,Asia,5,"Asia, Central",Y,12,"Eurasian Peoples",157,Caucasus,188900,1,Y,Y,3,300015,Abkhaz,100018,abk,Abkhaz,4,6,Islam,0.000,0.000,Y,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,N,41.820686725712,41.178986841769
10136CD,CD,Chad,10136,"Abu Sharib","Abu Sharib","Abu Sharib",93000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",264,Ouaddai-Fur,93000,1,Y,Y,2,300020,"Abu Sharib",100027,mgb,Mararit,2,6,Islam,0.010,0.009,Y,"CC BY-SA 2.0",https://creativecommons.org/licenses/by-sa/2.0/,,,N,Y,21.758036152746,14.038134644298
22457SU,SU,Sudan,22457,Abu-Junuk,Abu-Junuk,Abu-Junuk,9800,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",248,"Nuba Mountains",9800,1,Y,Y,1,,,119453,apd,"Arabic, Sudanese",4,6,Islam,0.000,0.000,Y,,,,,Y,Y,28.96,11.98
10144ID,ID,Indonesia,10144,Acehnese,Acehnese,Acehnese,4024000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",101,"Aceh of Sumatra",4114000,1,Y,N,80,300028,Acehnese,100036,ace,Aceh,5,6,Islam,0.120,0.005,Y,,,,,Y,Y,97.05471,3.64342
10144MY,MY,Malaysia,10144,Acehnese,Acehnese,Acehnese,90000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",101,"Aceh of Sumatra",4114000,1,Y,Y,2,300028,Acehnese,100036,zlm,Malay,5,6,Islam,0.000,0.000,N,,,,,Y,Y,101.600946,3.03442
18384CH,CH,China,18384,"Achang, Husa","Achang, Husa",Achang,7500,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",7500,1,Y,N,1,300030,Achang,113977,acn,Achang,5,4,"Ethnic Religions",2.000,2.000,Y,,,,,N,Y,97.871655614315,24.40347417899
16158IN,IN,India,16158,"Ad Dharmi","Ad Dharmi","Ad Dharmi",1229000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",1229000,1,Y,N,25,300039,"Ad Dharmi / Adi Dharmi",111259,pan,"Punjabi, Eastern",5,5,Hinduism,0.337,,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,76.123235162635,31.827981384047
18386BT,BT,Bhutan,18386,Adi,Adi,Adi,2800,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",103,Adi,86000,1,Y,Y,1,300047,Adi,113979,adi,Adi,5,9,Unknown,0.000,0.000,N,"CC BY 2.0",https://creativecommons.org/licenses/by/2.0/,,,Y,Y,90.188702,27.03247
18386CH,CH,China,18386,Adi,Adi,Adi,1200,ASI,Asia,3,"Asia, Northeast",Y,21,"South Asian Peoples",103,Adi,86000,1,Y,Y,1,300047,Adi,113979,adi,Adi,5,4,"Ethnic Religions",0.000,0.000,Y,"CC BY 2.0",https://creativecommons.org/licenses/by/2.0/,,,Y,Y,92.542649710016,28.482663132897
16162CE,CE,"Sri Lanka",16162,"Adi Andhra","Adi Andhra","Adi Andhra",800,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",363800,1,Y,Y,1,300048,"Adi Andhra",111264,tel,Telugu,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,81.044746866035,7.0615802663406
16162IN,IN,India,16162,"Adi Andhra","Adi Andhra","Adi Andhra",363000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",363800,1,Y,N,7,300048,"Adi Andhra",111264,tel,Telugu,5,5,Hinduism,0.862,,Y,,,,,Y,Y,82.310876972451,17.358804901904
16164IN,IN,India,16164,"Adi Dravida","Adi Dravida","Adi Dravida",10144000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",10144000,1,Y,Y,203,300049,"Adi Dravida",111266,tam,Tamil,5,5,Hinduism,0.095,,Y,,,,,Y,Y,79.616260500579,12.250878430078
16166IN,IN,India,16166,"Adi Karnataka","Adi Karnataka","Adi Karnataka",3509000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",3509000,1,Y,N,70,300050,"Adi Karnataka",111268,kan,Kannada,5,5,Hinduism,0.513,,Y,,,,,Y,Y,76.662102974047,12.649992691545
17939CH,CH,China,17939,"Adi Ramo","Adi Ramo","Adi Ramo",200,ASI,Asia,3,"Asia, Northeast",Y,21,"South Asian Peoples",103,Adi,1800,1,Y,Y,1,300047,Adi,113427,adi,Adi,5,2,Buddhism,0.000,0.000,N,,,,,Y,Y,94.34,29.4
20054NP,NP,Nepal,20054,"Adibasi Janajati","Adibasi Janajati","Adibasi Janajati",1300,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",1300,1,Y,Y,1,300051,Adibasi,115688,npi,Nepali,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,80.752818162618,28.925253212441
16171IN,IN,India,16171,Adiyan,Adiyan,Adiyan,19000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",19000,1,Y,N,1,300053,Adiyan,111273,mal,Malayalam,5,5,Hinduism,0.773,,Y,,,,,Y,Y,76.234503103473,12.10840611579
18387CH,CH,China,18387,Adu,Adu,Adu,8200,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",8200,1,Y,Y,1,300056,Adu,113980,cmn,"Chinese, Mandarin",5,7,Non-Religious,0.000,0.000,Y,,,,,Y,Y,106.28422769113,25.931359644143
10161EG,EG,Egypt,10161,Adyghe,Adyghe,Adyghe,15000,AFR,Africa,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.100,0.000,N,,,,,Y,Y,31.253906,30.015129
10161GM,GM,Germany,10161,Adyghe,Adyghe,Adyghe,2100,EUR,Europe,10,"Europe, Western",N,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.070,0.050,N,,,,,Y,Y,13.428073,52.497842
10161IS,IS,Israel,10161,Adyghe,Adyghe,Adyghe,4200,ASI,Asia,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.050,0.020,N,,,,,Y,Y,35.49547,32.69226
10161IZ,IZ,Iraq,10161,Adyghe,Adyghe,Adyghe,45000,ASI,Asia,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.020,0.010,N,,,,,Y,Y,45.01019,34.36674
10161JO,JO,Jordan,10161,Adyghe,Adyghe,Adyghe,103000,ASI,Asia,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,2,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.020,0.020,N,,,,,Y,Y,36.30381,32.30991
10161RI,RI,Serbia,10161,Adyghe,Adyghe,Adyghe,2100,EUR,Europe,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.000,0.000,N,,,,,Y,Y,20.495112,44.791215
